aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
164,410.0,2025-03-01:23,86.8,13.6,121.8,66.25,39.0,2025-03-02T04:30:00,2025-03-01T23:00:00,1740870000,Mumbai
175,39.2,2025-03-01:22,55.9,14.2,102.4,74.27,46.4,2025-03-02T03:30:00,2025-03-01T22:00:00,1740866400,Mumbai
182,1431.0,2025-03-01:21,363.0,2.4,125.0,79.67,55.0,2025-03-02T02:30:00,2025-03-01T21:00:00,1740862800,Mumbai
195,47.8,2025-03-01:20,76.2,17.0,127.3,88.91,43.6,2025-03-02T01:30:00,2025-03-01T20:00:00,1740859200,Mumbai
207,1145.0,2025-03-01:19,115.0,11.2,130.5,98.0,51.5,2025-03-02T00:30:00,2025-03-01T19:00:00,1740855600,Mumbai
192,96.4,2025-03-01:18,83.4,13.4,129.3,87.15,44.5,2025-03-01T23:30:00,2025-03-01T18:00:00,1740852000,Mumbai
176,820.8,2025-03-01:17,192.0,14.0,174.5,74.83,51.4,2025-03-01T22:30:00,2025-03-01T17:00:00,1740848400,Mumbai
192,30.7,2025-03-01:16,75.2,21.3,119.2,86.65,40.7,2025-03-01T21:30:00,2025-03-01T16:00:00,1740844800,Mumbai
155,136.0,2025-03-01:15,101.0,24.8,155.0,155.0,54.0,2025-03-01T20:30:00,2025-03-01T15:00:00,1740841200,Mumbai
182,10.9,2025-03-01:14,61.3,39.6,140.4,79.28,42.3,2025-03-01T19:30:00,2025-03-01T14:00:00,1740837600,Mumbai
500,257.0,2025-03-01:13,101.0,30.5,646.5,62.0,58.5,2025-03-01T18:30:00,2025-03-01T13:00:00,1740834000,Mumbai
187,451.1,2025-03-01:12,47.3,64.2,114.4,83.56,44.1,2025-03-01T17:30:00,2025-03-01T12:00:00,1740830400,Mumbai
