,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
61,159,181.5,2025-03-01:20,110.0,6.7,108.5,62.0,25.0,2025-03-02T01:30:00,2025-03-01T20:00:00,1740859200,Vepagunta
62,100,312.0,2025-03-01:19,152.0,4.0,100.0,35.0,16.0,2025-03-02T00:30:00,2025-03-01T19:00:00,1740855600,Vepagunta
63,179,0.0,2025-03-01:18,75.0,9.8,103.0,77.0,15.0,2025-03-01T23:30:00,2025-03-01T18:00:00,1740852000,Vepagunta
64,100,948.0,2025-03-01:17,189.0,3.9,106.0,35.0,16.0,2025-03-01T22:30:00,2025-03-01T17:00:00,1740848400,Vepagunta
65,171,525.0,2025-03-01:16,150.5,6.1,154.5,71.5,20.0,2025-03-01T21:30:00,2025-03-01T16:00:00,1740844800,Vepagunta
66,93,877.0,2025-03-01:15,193.0,4.8,72.0,32.0,19.0,2025-03-01T20:30:00,2025-03-01T15:00:00,1740841200,Vepagunta
67,119,187.0,2025-03-01:14,127.5,7.8,72.5,42.5,19.0,2025-03-01T19:30:00,2025-03-01T14:00:00,1740837600,Vepagunta
68,104,302.0,2025-03-01:13,127.0,5.8,78.0,37.0,18.0,2025-03-01T18:30:00,2025-03-01T13:00:00,1740834000,Vepagunta
69,153,0.0,2025-03-01:12,67.0,12.9,73.0,55.0,17.0,2025-03-01T17:30:00,2025-03-01T12:00:00,1740830400,Vepagunta
70,121,302.0,2025-03-01:11,133.0,6.6,92.0,43.0,17.0,2025-03-01T16:30:00,2025-03-01T11:00:00,1740826800,Vepagunta
71,161,216.5,2025-03-01:10,99.0,13.5,120.5,64.0,19.5,2025-03-01T15:30:00,2025-03-01T10:00:00,1740823200,Vepagunta
