aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
87,625.0,35.0,14.8,70.0,29.0,103.0,Bengaluru,09
111,17.5,34.6,26.9,55.0,39.62,21.9,Bengaluru,08
118,121.0,34.0,12.0,104.0,42.0,20.0,Bengaluru,07
121,528.5,33.3,25.3,57.5,43.15,24.8,Bengaluru,06
116,207.0,39.0,12.1,87.0,41.5,21.0,Bengaluru,05
138,37.0,36.5,24.0,69.9,49.46,21.2,Bengaluru,04
100,458.5,41.5,9.5,65.0,35.5,47.5,Bengaluru,03
121,92.7,40.0,21.2,62.8,43.25,26.8,Bengaluru,02
123,454.0,64.0,12.9,88.0,44.0,21.0,Bengaluru,01
120,49.3,36.4,22.8,59.8,42.67,25.6,Bengaluru,00
103,1053.5,53.5,8.9,56.0,36.5,35.0,Bengaluru,23
103,64.4,38.3,22.0,51.6,36.5,23.6,Bengaluru,22
108,202.0,36.5,10.4,66.0,38.5,20.5,Bengaluru,21
127,78.4,41.1,19.1,63.1,45.27,23.5,Bengaluru,20
91,857.0,34.0,9.3,76.0,31.0,70.0,Bengaluru,19
127,763.3,35.4,26.5,60.6,45.58,18.4,Bengaluru,18
87,1068.0,35.0,8.9,74.0,29.0,76.0,Bengaluru,17
116,114.1,42.1,20.3,59.6,41.25,21.1,Bengaluru,16
108,1184.0,45.0,11.0,86.0,38.5,42.0,Bengaluru,15
156,158.7,43.3,20.8,85.3,60.08,19.2,Bengaluru,14
107,1079.0,66.0,12.9,76.0,38.0,21.0,Bengaluru,13
153,83.2,39.8,25.2,76.1,55.08,22.7,Bengaluru,12
60,160.3,11.2,43.6,29.0,16.67,8.3,Chennai,11
91,363.0,76.5,2.8,58.0,31.0,65.5,Chennai,10
93,363.0,33.5,2.8,63.0,32.0,23.0,Chennai,09
108,61.0,25.0,14.2,57.6,38.38,32.8,Chennai,08
95,363.0,34.0,2.8,68.0,33.0,24.5,Chennai,07
122,91.0,23.3,17.8,59.1,43.38,30.4,Chennai,06
118,383.0,39.0,2.8,68.0,42.0,35.0,Chennai,05
111,62.7,25.0,15.6,57.6,39.38,20.3,Chennai,04
190,353.0,61.0,3.8,175.0,85.5,73.0,Chennai,03
114,77.2,31.6,15.4,59.7,40.57,50.7,Chennai,02
114,373.0,21.0,10.2,73.0,40.5,33.5,Chennai,01
127,92.8,25.0,13.9,59.3,45.25,23.9,Chennai,00
134,373.0,39.0,2.8,74.0,48.0,36.0,Chennai,23
117,62.8,27.8,13.7,59.5,41.63,50.9,Chennai,22
188,383.0,72.0,2.8,134.0,84.0,141.5,Chennai,21
130,64.5,34.4,13.5,68.8,46.63,56.4,Chennai,20
165,383.0,78.0,2.8,122.0,66.5,70.0,Chennai,19
99,763.3,15.4,15.6,46.4,34.86,22.4,Chennai,18
118,373.0,86.0,2.8,89.0,42.0,108.0,Chennai,17
90,148.3,32.3,11.8,46.4,30.5,22.0,Chennai,16
